column_name,category,data_type,n_unique,n_missing,target_related,leakage_risk,availability_status,contemporaneous_use_at_t,lagged_use,city,weather_family,reasoning
clouds_all_Bilbao,ambiguous,float64,89,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,clouds_all,"Observed weather field 'clouds_all' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
clouds_all_Madrid,ambiguous,float64,88,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,clouds_all,"Observed weather field 'clouds_all' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
clouds_all_Seville,ambiguous,float64,83,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,clouds_all,"Observed weather field 'clouds_all' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
clouds_all_Valencia,ambiguous,float64,84,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,clouds_all,"Observed weather field 'clouds_all' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_id_Barcelona,ambiguous,int64,28,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,weather_id,"Observed weather field 'weather_id' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_id_Bilbao,ambiguous,int64,29,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,weather_id,"Observed weather field 'weather_id' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_id_Madrid,ambiguous,int64,29,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,weather_id,"Observed weather field 'weather_id' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_id_Seville,ambiguous,int64,27,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,weather_id,"Observed weather field 'weather_id' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_id_Valencia,ambiguous,int64,23,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,weather_id,"Observed weather field 'weather_id' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_main_Barcelona,ambiguous,object,9,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,weather_main,"Observed weather field 'weather_main' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_main_Bilbao,ambiguous,object,9,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,weather_main,"Observed weather field 'weather_main' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_main_Madrid,ambiguous,object,9,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,weather_main,"Observed weather field 'weather_main' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_main_Seville,ambiguous,object,11,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,weather_main,"Observed weather field 'weather_main' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_main_Valencia,ambiguous,object,9,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,weather_main,"Observed weather field 'weather_main' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_description_Barcelona,ambiguous,object,29,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,weather_description,"Observed weather field 'weather_description' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_description_Bilbao,ambiguous,object,33,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,weather_description,"Observed weather field 'weather_description' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_description_Madrid,ambiguous,object,31,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,weather_description,"Observed weather field 'weather_description' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_description_Seville,ambiguous,object,30,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,weather_description,"Observed weather field 'weather_description' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_description_Valencia,ambiguous,object,24,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,weather_description,"Observed weather field 'weather_description' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_icon_Barcelona,ambiguous,object,24,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,weather_icon,"Observed weather field 'weather_icon' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_icon_Bilbao,ambiguous,object,24,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,weather_icon,"Observed weather field 'weather_icon' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_icon_Madrid,ambiguous,object,23,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,weather_icon,"Observed weather field 'weather_icon' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_icon_Seville,ambiguous,object,21,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,weather_icon,"Observed weather field 'weather_icon' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
weather_icon_Valencia,ambiguous,object,21,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Valencia,weather_icon,"Observed weather field 'weather_icon' at Valencia for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
