feature,feature_group,classification_strict,classification_assumed,known_at_dam_origin,time_needed,future_leakage_risk,used_by_locked_model,strict_usable,notes
rain_3h_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
snow_3h_madrid_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
snow_3h_madrid_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_sin_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_cos_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_sin_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_cos_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
temp_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
temp_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
humidity_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
humidity_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
pressure_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
pressure_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_speed_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_speed_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
clouds_all_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
clouds_all_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_1h_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_1h_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_3h_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_3h_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
snow_3h_seville_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
snow_3h_seville_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_sin_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_cos_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_deg_sin_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_deg_cos_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
temp_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
temp_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
humidity_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
humidity_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
pressure_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
pressure_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_speed_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_speed_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
clouds_all_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
clouds_all_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_1h_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_1h_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_3h_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_3h_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
snow_3h_valencia_lag_24,historical_weather,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
snow_3h_valencia_lag_168,historical_weather,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
temp_national_mean_lag_24,weather_aggregate,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
temp_national_mean_lag_168,weather_aggregate,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
humidity_national_mean_lag_24,weather_aggregate,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
humidity_national_mean_lag_168,weather_aggregate,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
wind_speed_national_mean_lag_24,weather_aggregate,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
wind_speed_national_mean_lag_168,weather_aggregate,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
clouds_all_national_mean_lag_24,weather_aggregate,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
clouds_all_national_mean_lag_168,weather_aggregate,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
rain_1h_national_max_lag_24,weather_aggregate,FORBIDDEN,CONDITIONAL,not for all 24 hours of D,actual series at t-24,high,True,False,"At τ = D-1 12:00 CET, t-24 for evening hours of D is an actual on D-1 afternoon/evening and is not yet observed. STRICT forbids it. ASSUMED would only be valid if the origin is late enough that t-24 ≤ origin."
rain_1h_national_max_lag_168,weather_aggregate,SAFE,SAFE,yes,actual series at t-168,low,True,True,Complete prior calendar day(s) relative to D-1 noon.
fraction_high_price_last_7d,diğer,SAFE,SAFE,yes,"published DAM prices up to t-24, vs development P75",low,True,True,Computed from past published prices only. No recursive ŷ.
fraction_high_price_last_14d,diğer,SAFE,SAFE,yes,"published DAM prices up to t-24, vs development P75",low,True,True,Computed from past published prices only. No recursive ŷ.
fraction_high_price_last_30d,diğer,SAFE,SAFE,yes,"published DAM prices up to t-24, vs development P75",low,True,True,Computed from past published prices only. No recursive ŷ.
